Name_Other	Name_Other
Person	Person
God	God
Organization_Other	Organization
International_Organization	Organization
Show_Organization	Organization
Family	Organization
Ethnic_Group_Other	Organization
Nationality	Organization
Sports_Organization_Other	Organization
Pro_Sports_Organization	Organization
Sports_League	Organization
Corporation_Other	Organization
Company	Organization
Company_Group	Organization
Political_Organization_Other	Organization
Government	Organization
Political_Party	Organization
Cabinet	Organization
Military	Organization
Location_Other	Location
Spa	Location
GPE_Other	Location
City	Location
County	Location
Province	Location
Country	Location
Region_Other	Location
Continental_Region	Location
Domestic_Region	Location
Geological_Region_Other	Location
Mountain	Location
Island	Location
River	Location
Lake	Location
Sea	Location
Bay	Location
Astral_Body_Other	Location
Star	Location
Planet	Location
Constellation	Location
Address_Other	Location
Postal_Address	Location
Phone_Number	Location
Email	Location
URL	Location
Facility_Other	Facility
Facility_Part	Facility
Archaeological_Place_Other	Facility
Tumulus	Facility
GOE_Other	Facility
Public_Institution	Facility
School	Facility
Research_Institute	Facility
Market	Facility
Park	Facility
Sports_Facility	Facility
Museum	Facility
Zoo	Facility
Amusement_Park	Facility
Theater	Facility
Worship_Place	Facility
Car_Stop	Facility
Station	Facility
Airport	Facility
Port	Facility
Line_Other	Facility
Railroad	Facility
Road	Facility
Canal	Facility
Water_Route	Facility
Tunnel	Facility
Bridge	Facility
Product_Other	Product
Material	Product
Clothing	Product
Money_Form	Product
Drug	Product
Weapon	Product
Stock	Product
Award	Product
Decoration	Product
Offense	Product
Service	Product
Class	Product
Character	Product
ID_Number	Product
Vehicle_Other	Product
Car	Product
Train	Product
Aircraft	Product
Spaceship	Product
Ship	Product
Food_Other	Product
Dish	Product
Art_Other	Product
Picture	Product
Broadcast_Program	Product
Movie	Product
Show	Product
Music	Product
Book	Product
Printing_Other	Product
Newspaper	Product
Magazine	Product
Doctrine_Method_Other	Product
Culture	Product
Religion	Product
Academic	Product
Sport	Product
Style	Product
Movement	Product
Theory	Product
Plan	Product
Rule_Other	Product
Treaty	Product
Law	Product
Title_Other	Product
Position_Vocation	Product
Language_Other	Product
National_Language	Product
Unit_Other	Product
Currency	Product
Event_Other	Event
Occasion_Other	Event
Religious_Festival	Event
Game	Event
Conference	Event
Incident_Other	Event
War	Event
Natural_Phenomenon_Other	Event
Natural_Disaster	Event
Earthquake	Event
Natural_Object_Other	Natural_Object
Element	Natural_Object
Compound	Natural_Object
Mineral	Natural_Object
Living_Thing_Other	Natural_Object
Fungus	Natural_Object
Mollusc_Arthropod	Natural_Object
Insect	Natural_Object
Fish	Natural_Object
Amphibia	Natural_Object
Reptile	Natural_Object
Bird	Natural_Object
Mammal	Natural_Object
Flora	Natural_Object
Living_Thing_Part_Other	Natural_Object
Animal_Part	Natural_Object
Flora_Part	Natural_Object
Disease_Other	Disease
Animal_Disease	Disease
Color_Other	Color
Nature_Color	Color
Time_Top_Other	Time_Top_Other
Timex_Other	Timex
Time	Timex
Date	Timex
Day_Of_Week	Timex
Era	Timex
Periodx_Other	Periodx
Period_Time	Periodx
Period_Day	Periodx
Period_Week	Periodx
Period_Month	Periodx
Period_Year	Periodx
Numex_Other	Numex_Other
Money	Money
Stock_Index	Stock_Index
Point	Point
Percent	Percent
Multiplication	Multiplication
Frequency	Frequency
Age	Age
School_Age	School_Age
Ordinal_Number	Ordinal_Number
Rank	Rank
Latitude_Longtitude	Latitude_Longtitude
Measurement_Other	Measurement
Physical_Extent	Measurement
Space	Measurement
Volume	Measurement
Weight	Measurement
Speed	Measurement
Intensity	Measurement
Temperature	Measurement
Calorie	Measurement
Seismic_Intensity	Measurement
Seismic_Magnitude	Measurement
Countx_Other	Countx
N_Person	Countx
N_Organization	Countx
N_Location_Other	Countx
N_Country	Countx
N_Facility	Countx
N_Product	Countx
N_Event	Countx
N_Natural_Object_Other	Countx
N_Animal	Countx
N_Flora	Countx
